 YEAR, JAN, FEB, MAR, APR, MAY, JUN, JUL, AUG, SEP, OCT, NOV, DEC
1901,21.1,21.9,23.3,24.5,25.2,24.9,24.3,24.4,24.1,23.6,22,21.4
1902,20.3,21.6,24,24.5,25.4,24.8,24.6,23.6,25,24,22.9,21.6
1903,21.4,22.9,23.7,24.3,24.7,25.5,24.7,24.6,24.9,23.4,21.7,20.6
1904,21.1,21.9,23.3,24.7,25.2,24.9,24.3,24.3,24.1,23.4,22.1,21.5
1905,21,21.9,23.4,24.7,25.4,25,24.3,24.4,24.2,23.6,22.3,21.6
1906,20.3,21,22.8,24.1,25.1,24.7,24.5,24.3,24.6,23.6,22.5,21.2
1907,21.5,21.6,23.3,24.6,25.1,24.8,23.8,23.8,23.8,23.5,22.6,21.2
1908,20.5,21.2,23.4,25.3,25.7,25,24.3,24.2,24,23,21.6,21.5
1909,20.8,21.7,23.9,24.9,25.9,24.7,24.6,24.5,24,23.3,21.6,21.4
1910,20.1,21.1,21.7,23.5,24.7,24.4,24,24.3,24,23.3,21.4,20.1
1911,20.9,21.8,23.4,25,23.8,24,24.3,24.2,24.1,24,22.8,21.7
1912,21.2,20.5,23.7,25.7,25.3,24.6,24.2,24.3,24,23.7,21.5,21.8
1913,21.7,22.8,23.5,23.1,23.9,23.8,24,24.2,23.7,23.1,21.7,21.2
1914,20.6,21.8,21.8,24.2,24.3,24.1,24.5,24.7,23.8,23.3,21.8,21.9
1915,20.8,21.2,21.5,23.1,25.6,25.3,24.8,24.7,24.3,23.5,22.3,21.7
1916,22.1,21,22.5,23.8,24.8,24.4,24.8,24.1,23.8,23.1,21.6,21.6
1917,21.1,21.5,23.2,24.1,25.2,24.3,24.2,24.2,23.9,23.1,22,20.6
1918,20.6,22.4,23.5,24.7,24.9,24.4,24.6,24.4,24.2,24.2,22.4,21.4
1919,20.3,22,23.4,24,24.7,24.2,24.2,24.3,24.1,23.7,23,21.6
1920,21.4,21.4,23.3,25.6,25.3,24.2,24.1,24.1,24.1,23.3,21.9,21.3
1921,20.8,21.6,23.5,24.5,23.7,24.4,24.2,24.2,24,23.2,22.4,21.7
1922,21.5,22.2,23.7,25.4,25.2,24.7,24.3,24.7,24.3,23.5,22.4,21.7
1923,21.2,21.7,23.5,24.8,25.4,24.8,24.5,24.5,24.1,23.2,21.7,21.8
1924,21.1,20.4,23.1,24.8,25.2,25.3,24.6,24.5,24.1,23.2,21.5,21.9
1925,21.7,21.6,22.8,23.8,24.1,24.2,24.3,24.5,24.1,24.2,22.5,21.5
1926,20.9,21.5,23.5,24.5,24.5,24.8,24.9,24.5,24.6,23.9,21.7,22.1
1927,20.7,22.5,23.4,24.7,25.8,25.4,24.2,24.9,24.5,23.6,22.2,21.7
1928,20.5,22.3,23.5,24.3,24.5,25.7,24.7,24.8,24.8,24,22.2,21.4
1929,21.7,22.9,24.2,25.7,25.1,24.5,24,24.3,24.1,23.7,22.9,21
1930,21.4,21.8,23.1,23.7,25.2,24.4,24,24.6,24.3,23.8,21.9,20.8
1931,21.1,22.1,23,24.4,24.7,24.8,24.1,24.7,24.6,24,21.6,22.4
1932,22.2,22.7,23.2,24.4,25.4,24.6,24.1,24.5,24.8,23.7,20.9,21.9
1933,21.8,22.9,23.2,25.6,25.3,24.6,24.2,24,23.8,23.4,21,21
1934,21.5,21.6,22.1,24.9,24.5,24.3,24.2,24.8,24.4,23.6,22.3,21.9
1935,20.4,20.7,23.2,25.1,25.3,24.8,24.3,24.3,24.5,23.5,21.9,21.5
1936,22.4,23.1,24.3,24.9,25,24.9,24.3,24.9,24.4,24.1,22.6,21.4
1937,22.9,22.8,23.8,25.1,25.1,24.9,24.4,24.4,23.7,23,21,21.3
1938,20.8,21.3,23.3,23.3,24.6,24.1,23.8,24,23.8,22.7,21.8,20.3
1939,21.4,22,22.4,24.5,25,24.3,24.1,24.4,23.4,23.5,21.1,22.3
1940,20.5,20.6,23.2,24,24.8,24.3,24.5,24.9,24.4,22.9,22,21.3
1941,20.7,21.3,23.1,25,24.4,25.2,24.1,24.6,23.8,23.1,21.4,21.7
1942,19.9,22.1,22.8,24.4,25.7,24.6,24,23.8,23.4,22.9,21.5,21.6
1943,20.9,20,21.9,23.3,24.2,23.9,23.8,24,23.8,22.3,20.5,20.4
1944,19.9,22,23.3,24.4,24.5,24,24.4,24.1,23.7,22,21.8,20.2
1945,20.9,22.4,23.6,24.3,24.4,24.6,24.4,24,23.8,23.2,21.7,21.5
1946,21.8,22.2,22.8,24.2,25.5,24.5,23.8,24,23.6,22.8,22.6,21.3
1947,22.2,21.2,23.3,24.8,24.5,24.3,23.9,23.8,23.8,23.9,23.2,21.3
1948,21,21.9,23.1,23.5,24.3,24.3,23.6,24.5,24,23.2,22.7,21.2
1949,21.2,21.1,23,24.6,24.8,24.7,24.4,24.2,23.5,23.3,20,20.4
1950,21,20.9,22.2,23.1,24.3,23.9,23.6,23.7,23.9,23,20.8,20
1951,20.6,20.6,22.6,24.4,24.3,25,24,24.9,24.2,23.5,22.1,22
