date,CRUDE_PETRO,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_MOMBASA,COCONUT_OIL,GRNUT_OIL,PALM_OIL,SOYBEANS,SOYBEAN_OIL,BARLEY,MAIZE,SORGHUM,RICE_05,WHEAT_US_HRW,SUGAR_WLD,iFOOD,iFATS_OILS,iGRAINS,iENERGY
1960M01,1.63,63.4,94.09,69.69,103.74,390,334,233,94,204,20.36,45,39,104.45,59.89,6.66,36.72,44.06,40.36,2.94
1960M02,1.63,60.8,94.69,68.87,103.74,379,341,229,91,201,20.41,44,39,103.54,60.99,6.79,36.14,42.76,40.04,2.94
1960M03,1.63,57.89,92.81,68.87,103.74,361,338,225,92,201,20.72,45,35,103.79,61.73,6.83,36.31,42.15,40.61,2.94
1960M04,1.63,59.83,93.03,68.45,103.74,338,333,225,93,207,20.64,45,35,100.97,60.99,6.81,36.56,42.57,40.19,2.94
1960M05,1.63,60.01,92,69.07,103.74,321,335,225,93,209,20.61,48,35,102.15,57.69,6.83,36.39,41.9,41.01,2.94
1960M06,1.63,59.44,91.23,69.69,103.74,287,334,219,91,218,20.13,47,36,103.13,55.48,6.66,35.7,41.19,40.31,2.94
1960M07,1.63,60.45,91.6,69.07,103.74,298,336,221,92,224,20.04,47,39.9,102.05,54.75,7.28,35.98,41.31,40.07,2.94
1960M08,1.63,58.82,92.92,69.88,103.74,292,336,225,93,237,20.13,47,39,109.71,55.12,7.41,36.46,41.97,40.95,2.94
1960M09,1.63,58.27,92.26,70.28,103.74,276,323,224,92,231,20.26,46,35,116.1,56.59,7.25,36.8,42.17,41.46,2.94
1960M10,1.63,58.58,92.37,70.68,103.74,280,310,222,88,237,19.72,42,35,115.21,56.95,5.38,34.95,40.86,39.74,2.94
1960M11,1.63,56.95,91.16,70.9,103.74,274,303,222,90,259,19.2,38,35,114.43,57.69,5.2,34.03,40.72,38.11,2.94
1960M12,1.63,52.38,90.06,69.69,103.74,252,301,223,93,259,19.63,40,36,112.66,58.05,6.35,35.42,42.22,38.83,2.94
1961M01,1.57,48.5,91.45,67.66,98.42,269,331,223,102,278,20.28,43,38,113.47,58.79,6.46,36.51,44.43,40.3,2.85
1961M02,1.57,48.81,91.67,67.66,98.42,281,349,228,114,303,20.53,44,39,109.52,59.16,6.26,37.79,47.69,40.37,2.85
1961M03,1.57,45.81,91.05,66.84,98.42,276,373,231,121,311,20.39,44,39,117.65,58.05,6.26,39.17,49.24,41.04,2.85
1961M04,1.57,43.54,90.17,66.45,98.42,269,369,233,129,322,20.14,43,38,115.17,57.32,6.68,39.99,51.82,40.23,2.85
1961M05,1.57,48.48,89.29,66.23,98.42,258,352,234,122,314,20.25,45,42,119.42,55.85,7.03,39.69,50.77,41.27,2.85
1961M06,1.57,49.07,88.91,66.64,98.42,243,330,233,114,295,19.88,44,45,121.4,54.38,6.55,38.59,48.1,40.81,2.85
1961M07,1.57,47.53,89.29,66.84,98.42,245,328,229,112,282,20.44,45,45,123.41,56.59,6.09,38.28,47.5,41.82,2.85
1961M08,1.57,47.95,89.35,66.84,98.42,248,321,226,101,276,20.68,44,44,119.63,58.79,5.36,37.53,46.47,41.38,2.85
1961M09,1.57,46.5,88.91,67.24,98.42,243,301,226,98,267,20.72,43,45,118.99,59.89,5.42,36.85,44.62,41.08,2.85
1961M10,1.57,46.03,88.52,67.24,98.42,236,293,226,98,270,21.57,47.64,40,120.32,60.26,5.27,36.95,43.99,43.24,2.85
1961M11,1.57,48.08,88.3,67.04,98.42,236,297,226,100,265,21.97,48.42,41,128.32,61.73,5.09,37.72,44.71,44.66,2.85
1961M12,1.57,53.97,87.74,66.64,98.42,237,319,226,101,265,22.12,48.42,41,120.1,62.46,4.87,37.47,44.98,43.92,2.85
1962M01,1.52,45.88,87.74,66.84,95.34,246.9,327.94,235.89,101.41,265,21.8,48.03,44.53,117.79,60.63,4.65,36.91,44.23,43.2,2.78
1962M02,1.52,49.45,87.7,66.84,95.34,248.6,299.28,237,100.59,259,21.95,48.03,44.53,119.18,61.36,4.98,36.95,43.74,43.48,2.78
1962M03,1.52,44.14,86.09,67.04,95.34,250.8,290.73,223.22,102.79,256,22.18,48.82,45.64,123.75,61.73,5.58,37.29,43.44,44.36,2.78
1962M04,1.52,46.47,84.66,67.44,95.34,260.7,281.64,220.46,104.44,254,22.27,48.82,46.52,130.84,62.1,5.71,37.42,43.51,45.17,2.78
1962M05,1.52,46.54,82.56,67.24,95.34,253.3,270.34,219.08,103.62,234,22.68,49.6,47.18,149.14,63.57,5.53,38,43.06,47.68,2.78
1962M06,1.52,47.29,80.47,67.24,95.34,239.5,264.59,216.33,102.24,215,22.83,49.6,47.18,144.11,64.3,5.62,37.81,42.63,47.28,2.78
1962M07,1.52,46.1,81.31,67.66,95.34,240.3,266.76,212.75,100.86,198,22.92,48.82,44.34,144.22,65.4,6.21,37.65,42.14,47.15,2.78
1962M08,1.52,45.88,81.9,68.45,95.34,244.7,265.1,209.16,95.35,198,22.88,47.24,42.55,142.92,66.51,6.46,37.37,41.68,46.54,2.78
1962M09,1.52,45,82.56,69.47,95.34,246.6,268.69,205.3,95.35,198,22.86,47.64,42.55,140.64,65.77,6.26,37.71,42.41,46.35,2.78
1962M10,1.52,43.65,81.09,69.47,95.34,253.5,251.6,196.76,97,212,22.67,47.64,42.77,142.95,64.3,6.66,37.06,41.14,46.34,2.78
1962M11,1.52,43.83,81.24,69.27,95.34,257.4,251.05,208.06,100.59,220,23.54,48.42,43.43,142.5,68.71,7.54,38.41,42.63,47.38,2.78
1962M12,1.52,45.33,81.79,71.69,95.34,272.3,254.36,210.82,102.24,215,23.86,51.18,45.19,121.07,67.61,8.82,38.36,42.94,46.09,2.78
1963M01,1.5,49.91,82.67,65.21,96.04,278.9,261.25,217.71,107.47,223,24.08,52.75,46.52,121.77,67.24,11.57,39.82,43.93,46.76,2.74
1963M02,1.5,54.39,80.31,61.38,96.04,272.5,264.83,217.71,109.96,231,24.37,53.15,47.18,123.35,68.34,13.05,40.65,44.33,47.29,2.74
1963M03,1.5,53.18,81.09,61.57,96.04,272.5,264.28,217.71,109.13,229,24.46,52.36,47.18,123.28,69.45,14.31,40.96,43.93,47.14,2.74
1963M04,1.5,56.31,80.8,61.57,96.04,278.3,261.52,217.71,107.2,229,24.68,51.97,46.3,122.38,70.92,16.47,41.84,43.38,47.14,2.74
1963M05,1.5,60.76,79.7,61.18,96.04,279.7,268.69,217.71,109.13,231,24.24,52.36,46.52,123.17,67.61,21.91,44.11,43.62,46.82,2.74
1963M06,1.5,56.22,79.92,61.18,96.04,282.5,274.47,219.91,108.3,231,23.17,55.51,48.28,128.13,58.42,21.54,44.24,44.14,47.08,2.74
1963M07,1.5,52.49,80.64,61.57,96.04,286.3,274.47,221.84,108.58,229,23.25,56.69,48.38,130.63,57.69,19.75,43.91,44.39,47.71,2.74
1963M08,1.5,52.1,80.47,61.18,96.04,291.8,264.55,224.6,105.82,207,23.25,55.51,47.84,129.86,58.42,14.13,41.92,43.81,47.26,2.74
