"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014"
"Portugal",799.1232,543.06455,440.99405,505.331075,683.17535,510.3644,658.325725,565.7629,983.5604,720.633925,1173.67685,584.061125,573.329725,519.31895,639.657125,465.17225,663.3346,1034.716825,838.8634,471.006725,562.693125,682.9456,711.936525,648.091375,685.30155,448.912775,542.613,719.115675,484.672625,607.84085,595.0749,890.7609,654.581725,532.52045,522.36985,642.278475
"Spain",661.999918181818,472.578713636364,371.864509090909,494.520654545455,473.889181818182,516.467768181818,462.842086363636,485.701654545455,666.770581818182,485.320090909091,801.906827272727,490.399145454545,537.018795454546,438.922936363636,486.502777272727,381.922254545455,438.793827272727,1053.27330909091,715.098395454546,381.866631818182,439.662831818182,575.851086363636,562.120609090909,600.62915,673.189772727273,491.129554545455,373.217440909091,567.9219,484.556809090909,609.373695454545,614.384154545455,933.123913636364,531.298981818182,480.290890909091,541.956922727273,532.960381818182
"Tunisia",311.417098305085,284.877708474576,170.521013559322,385.475616949153,204.147942372881,325.901616949153,215.268189830508,330.35206779661,226.851350847458,235.482691525424,201.083744067797,424.982361016949,282.941679661017,312.579405084746,199.915876271186,209.614369491525,309.914977966102,299.170894915254,285.091038983051,237.660181355932,298.501337288136,201.310996610169,176.067088135593,239.115328813559,404.344410169492,301.068918644068,262.778537288136,300.534508474576,307.159106779661,215.113008474576,370.317696610169,289.405433898305,309.919647457627,259.361683050847,271.893023728814,266.974613559322
"Italy",540.3922,411.2631,336.9529,839.5354,398.698,556.1754,559.051,564.1496,412.6746,471.3325,411.2576,585.2667,502.9627,583.8335,534.6681,407.8515,546.0941,677.4664,586.1336,422.119,471.3264,431.8142,314.2853,405.6775,757.6545,648.0725,582.8791,655.029,572.9797,499.5571,661.1903,636.6319,670.9827,536.9991,534.059,491.3847
"Greece",889.123788888889,774.758511111111,864.218922222222,786.0862,782.469944444444,795.303466666667,752.8581,784.618555555556,759.654833333333,773.786844444444,454.115588888889,473.467511111111,628.100822222222,449.326088888889,613.795666666667,676.4601,536.825711111111,817.870333333333,683.838411111111,643.195166666667,581.650133333333,533.296455555556,694.0557,788.083533333333,850.407211111111,637.383655555556,620.608277777778,579.354533333333,531.550455555556,581.011588888889,720.915922222222,544.870222222222,601.693211111111,615.177511111111,588.549111111111,598.024311111111
"Turkey",692.737174074074,646.140685185185,845.718883333333,545.227907407407,667.009248148148,598.277846296296,612.45947962963,579.685662962963,661.17492037037,797.784274074074,443.93812037037,411.072538888889,638.750159259259,521.420487037037,516.884598148148,727.592644444444,550.523094444444,730.218377777778,666.486090740741,659.084627777778,477.788222222222,579.879201851852,766.195292592593,616.181235185185,711.656868518519,621.412483333333,530.888537037037,605.671666666667,570.75987962963,394.587874074074,754.974211111111,571.118538888889,605.047553703704,787.749916666667,486.939325925926,593.886407407407
"Syrian Arab Republic",353.249512328767,406.383798630137,415.850754794521,360.941842465753,340.010804109589,315.520265753425,310.388490410959,373.998883561644,429.668054794521,514.382965753425,228.342012328767,238.349532876712,405.358249315068,372.134221917808,336.088216438356,447.207975342466,282.255620547945,442.52781369863,383.014532876712,316.802180821918,205.511468493151,311.82624109589,362.41174109589,343.72445890411,427.822120547945,355.576778082192,290.133561643836,350.899039726027,317.435850684931,241.872805479452,367.957678082192,274.177478082192,340.696434246575,416.573117808219,289.481917808219,280.15347260274
"Iraq",226.326218128655,280.017187134503,266.815671929825,344.537528070175,209.704849707602,243.705692397661,233.773698830409,321.297087719298,317.78550994152,304.79267251462,206.018414619883,171.037457894737,292.702698830409,296.272787719298,332.744005263158,346.22729122807,240.239653216374,281.202611695906,284.106994152047,251.160514035088,181.885125730994,222.178812280702,206.595569590643,268.612795906433,275.778773099415,256.549485380117,231.755268421053,291.158963157895,192.926007602339,155.27201754386,206.478185964912,164.302845614035,193.637240935673,213.729698830409,233.580867251462,230.42251871345
"Iran (Islamic Republic of)",289.88883025641,288.171284444444,263.264635042735,368.612880854701,241.207492991453,248.003237777778,205.817542222222,326.255968205128,238.461218119658,277.888934871795,231.737372478632,200.300177948718,318.934561709402,351.608719316239,318.161431965812,302.828597777778,285.105775042735,325.219828547009,308.228888376068,275.680463076923,251.544018119658,218.084160512821,189.632287008547,253.292094871795,268.425681880342,303.888686495727,259.498739316239,281.53758034188,244.00373025641,168.164479145299,270.012572820513,170.96863008547,253.047404444444,242.33667042735,214.734924444444,221.935232820513
"Turkmenistan",259.865316666667,261.16876,311.463306666667,343.188433333333,216.006123333333,187.972633333333,198.402166666667,219.571276666667,206.637806666667,287.45466,226.780836666667,241.588256666667,301.513436666667,330.031906666667,278.227083333333,223.94439,205.397466666667,182.038456666667,278.303093333333,293.505706666667,225.14347,136.725206666667,133.713426666667,256.20206,254.727603333333,248.691856666667,211.750533333333,233.429236666667,211.035306666667,129.038796666667,290.79544,158.644356666667,234.983826666667,274.707686666667,204.49055,227.199843333333
