 YEAR,   JAN,    FEB,   MAR,    APR,     MAY,     JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC
1901,83.9,64.6,86.3,87.3,43.4,73.9,64.1,107.2,78.3,121.2,108.3,161.7
1902,86.6,59.6,86,57.5,90.3,70.9,83,92.3,80.6,101.5,86.9,114.1
1903,148.8,120.2,155,68.1,80.9,67.1,117.6,156.1,113,232,106.5,93.1
1904,121.9,121.8,69.5,90.8,81.2,52.8,81.2,119,84.9,73.7,94,109.6
1905,77.4,79.7,134.4,82.4,42.3,62.7,64.1,128.5,86,104.4,139.9,64.7
1906,156,112.7,81.7,51,112.5,50.5,67.2,104.7,46.9,160,136.4,120.5
1907,74.9,85,85.4,82,101.1,122.6,75.6,113.8,38.7,171.4,106.4,135.8
1908,98,97.5,132.1,79.6,71.3,62.1,88.1,107.5,130.5,59,91,120.4
1909,98,52.6,117.2,88.3,62.5,73.5,118,90.9,80.9,177.4,76,157.2
1910,128.6,136.3,57.7,103.1,76.5,71.3,97.8,145.4,32.6,96.4,162.5,145.1
1911,68.9,111.1,68.3,76,57.9,82.8,60.2,75.5,84,109.4,152.2,198.2
1912,114.6,91.7,134.6,42.9,66.8,123.6,96.5,168.9,58.9,132,125.6,166.5
1913,135.9,59.4,142.8,102.8,86.7,68.2,34.1,49.2,89.2,110.6,135.3,105.6
1914,95.4,123.2,141.4,56.3,68,52.6,105.1,88.9,74.7,70.5,150.4,206.8
1915,138.3,147.1,67,73.2,56.9,40.9,130.6,80,70.4,82.9,96.6,209.6
1916,114.9,149.4,95.9,76.7,109.9,84.6,71.3,89.3,66,188.9,140.7,127.6
1917,89.7,43.5,87.6,70.1,76.9,77.5,63.7,167,91.7,196.8,142.6,81.1
1918,121.4,114.9,51,50.9,70.3,52,132,103.8,205.6,117.8,102.3,159.1
1919,139.7,67.3,130.3,89.8,34.6,78.1,49.3,102,98.5,87.2,122.4,186.7
1920,158.9,104.5,125.5,105.4,108.1,67,129.8,78.5,95.7,85.1,99.7,117.6
1921,165.6,32.7,115,43.8,69.1,22.7,68.5,112.3,66.4,95.9,86,145.6
1922,145,125.9,81.6,90.2,70.2,61.4,124,108.2,95.5,54.4,76.6,139.7
1923,119.6,164.3,54.6,82.3,92.5,41.3,99.7,143.7,128.9,174.7,138.6,143.3
1924,125,50.6,52.2,82.2,124.8,79.6,134.7,125.9,152.3,135.6,91.5,173.3
1925,112.4,151.8,63.2,94.8,119.5,18.2,87.2,91,120.7,124.3,82.5,126.9
1926,153.2,110.4,69,71.1,83.3,79,88.6,94.6,100.4,143.4,172.2,63.2
1927,144.3,83.6,107.1,94.5,57.5,114.7,100.4,134.7,177.8,121.2,133.3,75
1928,226.7,113.7,106.5,52.2,47.2,115.2,77.2,110.6,73.5,177.4,158.3,127.8
1929,60.3,48.4,20.4,47.2,78.6,73.2,86.3,127,60.5,174.6,194.2,231.3
1930,163.7,29.6,86.7,70.8,62.3,61.6,99.1,153.9,126.9,163.7,157.1,136.3
1931,133.4,116.5,39.9,86.4,105.9,116.9,117.4,93.7,73.9,82.2,174.8,95.9
1932,154.9,12,82.3,107.3,102.3,40.9,118.7,70.8,123.9,197.1,99.2,116.6
1933,111.6,116.5,83.3,58.3,61.3,63.1,81.5,74.7,50,139.6,68.5,49.8
1934,129.4,28.3,89,99.1,74.8,58.2,73.2,117.2,118.7,152.7,68.6,200.7
1935,81.3,132.5,56.8,105.9,36.7,102.7,52.3,87.6,175.7,195.3,161.4,113.3
1936,148.5,84.7,75.9,51.7,47.7,84.2,150.2,62.3,113.3,107.3,122.3,152.7
1937,167.5,155.4,87.4,75,70.2,68.5,91,73.9,92.8,100.6,55.4,113.9
1938,166.6,66,69,18.5,93.2,109.5,116.3,94.6,94.7,195.9,177,132.6
1939,166.6,105.7,91.3,66.4,35.4,64,142.1,71.5,58.5,113.2,185.8,88.2
1940,90.5,81.6,110.1,82.9,49.6,32.6,130.7,48.5,85.9,143.3,205.9,126.2
1941,85.2,117.6,90.7,52.1,66.4,32.6,90.5,140.2,42.6,126.6,120.4,85.6
1942,156.9,58,81.9,53.1,104.4,37.2,102.7,118.5,127.3,142.6,51,160.4
1943,165.2,94,50.4,72,99.9,79.2,74.9,128.9,117.8,143.8,104.7,74.8
1944,130.9,58.7,40.3,71.2,65.2,88.8,81.6,89.8,134.5,149.7,181.9,124.1
1945,117.5,122.7,59.1,57.8,105.4,101.4,95.3,73.7,103,128.5,29.8,139.1
1946,133.4,108,60.4,51.8,64.6,103.2,111,137.8,159.5,36.6,173.7,129.1
1947,119.4,49.7,157.8,111.3,85.7,89.8,86.2,12.7,103.8,50.1,150.5,96.1
1948,204,85.7,74.8,74.8,66.9,112,80.1,140.4,125.9,126.2,88.3,161.3
1949,110,86.8,72.8,93.6,70.4,31,62.9,94.4,73.9,173.1,146.5,167.3
1950,80.6,152.2,77.1,98.7,52.9,68.2,121.1,148.7,201.3,95.4,150.9,104.5
1951,139.2,121.3,119.7,91,65.3,46.5,85.1,141.5,97.9,50.8,208.9,166.4
1952,127.1,47.8,96.7,63.5,71.4,78.8,58.5,130.6,105.7,134,103.4,131.2
